,상품군별(1),운영형태별(1),날짜,거래액
444,가구,온라인 전용몰,2017.1,148709
445,가구,온·오프라인 병행몰,2017.1,74375
446,애완용품,온라인 전용몰,2017.1,60567
447,애완용품,온·오프라인 병행몰,2017.1,3924
448,여행 및 교통서비스,온라인 전용몰,2017.1,564692
449,여행 및 교통서비스,온·오프라인 병행몰,2017.1,642821
450,문화 및 레저서비스,온라인 전용몰,2017.1,101899
451,문화 및 레저서비스,온·오프라인 병행몰,2017.1,77607
452,이쿠폰서비스,온라인 전용몰,2017.1,94912
453,이쿠폰서비스,온·오프라인 병행몰,2017.1,1126
454,음식서비스,온라인 전용몰,2017.1,217654
455,음식서비스,온·오프라인 병행몰,2017.1,25120
456,기타서비스,온라인 전용몰,2017.1,33209
457,기타서비스,온·오프라인 병행몰,2017.1,19255
458,기타,온라인 전용몰,2017.1,149948
459,기타,온·오프라인 병행몰,2017.1,21345
460,컴퓨터 및 주변기기,온라인 전용몰,2017.11,376247
461,컴퓨터 및 주변기기,온·오프라인 병행몰,2017.11,84492
462,가전·전자·통신기기,온라인 전용몰,2017.11,757935
463,가전·전자·통신기기,온·오프라인 병행몰,2017.11,190575
464,서적,온라인 전용몰,2017.11,45507
465,서적,온·오프라인 병행몰,2017.11,87017
466,사무·문구,온라인 전용몰,2017.11,50454
467,사무·문구,온·오프라인 병행몰,2017.11,17488
468,의복,온라인 전용몰,2017.11,1046877
469,의복,온·오프라인 병행몰,2017.11,397068
470,신발,온라인 전용몰,2017.11,123696
471,신발,온·오프라인 병행몰,2017.11,51853
472,가방,온라인 전용몰,2017.11,119642
473,가방,온·오프라인 병행몰,2017.11,49866
474,패션용품 및 액세서리,온라인 전용몰,2017.11,113199
475,패션용품 및 액세서리,온·오프라인 병행몰,2017.11,76380
476,스포츠·레저용품,온라인 전용몰,2017.11,244305
477,스포츠·레저용품,온·오프라인 병행몰,2017.11,68714
478,화장품,온라인 전용몰,2017.11,283576
479,화장품,온·오프라인 병행몰,2017.11,505648
480,아동·유아용품,온라인 전용몰,2017.11,250420
481,아동·유아용품,온·오프라인 병행몰,2017.11,49171
482,음·식료품,온라인 전용몰,2017.11,455569
483,음·식료품,온·오프라인 병행몰,2017.11,246021
484,농축수산물,온라인 전용몰,2017.11,127657
485,농축수산물,온·오프라인 병행몰,2017.11,81087
486,생활용품,온라인 전용몰,2017.11,548889
487,생활용품,온·오프라인 병행몰,2017.11,159725
488,자동차 및 자동차용품,온라인 전용몰,2017.11,80534
489,자동차 및 자동차용품,온·오프라인 병행몰,2017.11,9033
490,가구,온라인 전용몰,2017.11,162599
491,가구,온·오프라인 병행몰,2017.11,79571
492,애완용품,온라인 전용몰,2017.11,68285
493,애완용품,온·오프라인 병행몰,2017.11,4390
494,여행 및 교통서비스,온라인 전용몰,2017.11,533732
495,여행 및 교통서비스,온·오프라인 병행몰,2017.11,623930
496,문화 및 레저서비스,온라인 전용몰,2017.11,106582
497,문화 및 레저서비스,온·오프라인 병행몰,2017.11,38500
498,이쿠폰서비스,온라인 전용몰,2017.11,122799
499,이쿠폰서비스,온·오프라인 병행몰,2017.11,1529
500,음식서비스,온라인 전용몰,2017.11,254716
